temperature_K,axis,wavelength_um,n,k
100,a,3.55,1.6203,1.1465455e-05
100,a,3.56,1.62,1.0963502e-05
100,a,3.57,1.6198,1.0376678e-05
100,a,3.58,1.6195,9.8861803e-06
100,a,3.59,1.6192,9.5110806e-06
100,a,3.6,1.6189,9.0942495e-06
100,a,3.61,1.6187,8.804035e-06
100,a,3.62,1.6184,8.6431732e-06
100,a,3.63,1.6181,8.4729303e-06
100,a,3.64,1.6178,8.4310282e-06
100,a,3.65,1.6175,8.6602075e-06
100,a,3.66,1.6173,9.1225406e-06
100,a,3.67,1.617,9.9688795e-06
100,a,3.68,1.6167,1.1180673e-05
100,a,3.69,1.6164,1.2478917e-05
100,a,3.7,1.6161,1.3813668e-05
100,a,3.71,1.6158,1.5152497e-05
100,a,3.72,1.6155,1.6247733e-05
100,a,3.73,1.6153,1.718247e-05
100,a,3.74,1.615,1.7952676e-05
100,a,3.75,1.6147,1.8525565e-05
100,a,3.76,1.6144,1.9014098e-05
100,a,3.77,1.6141,1.9378404e-05
100,a,3.78,1.6138,1.9324149e-05
100,a,3.79,1.6135,1.8861934e-05
100,a,3.8,1.6132,1.8371957e-05
100,a,3.81,1.6129,1.7942391e-05
100,a,3.82,1.6126,1.7597573e-05
100,a,3.83,1.6123,1.7486877e-05
100,a,3.84,1.612,1.7584401e-05
100,a,3.85,1.6117,1.7823596e-05
100,a,3.86,1.6114,1.8207196e-05
100,a,3.87,1.6111,1.8525429e-05
100,a,3.88,1.6108,1.8498991e-05
100,a,3.89,1.6105,1.8326832e-05
100,a,3.9,1.6102,1.7870622e-05
100,a,3.91,1.6099,1.68849e-05
100,a,3.92,1.6095,1.5911097e-05
100,a,3.93,1.6092,1.5536664e-05
100,a,3.94,1.6089,1.5728728e-05
100,a,3.95,1.6086,1.6223511e-05
100,a,3.96,1.6083,1.6996107e-05
100,a,3.97,1.608,1.8365365e-05
100,a,3.98,1.6077,2.0772109e-05
100,a,3.99,1.6073,2.4285135e-05
100,a,4.0,1.607,2.6916523e-05
100,a,4.01,1.6067,2.5287876e-05
100,a,4.02,1.6064,2.0888603e-05
100,a,4.03,1.606,1.7201574e-05
100,a,4.04,1.6057,1.4852771e-05
100,a,4.05,1.6054,1.3417612e-05
100,a,4.06,1.6051,1.267884e-05
100,a,4.07,1.6047,1.2293696e-05
100,a,4.08,1.6044,1.2013299e-05
100,a,4.09,1.6041,1.1883e-05
100,a,4.1,1.6037,1.1882428e-05
100,a,4.11,1.6034,1.1883381e-05
100,a,4.12,1.6031,1.1924502e-05
100,a,4.13,1.6027,1.2110409e-05
100,a,4.14,1.6024,1.2302491e-05
100,a,4.15,1.6021,1.2483883e-05
100,a,4.16,1.6017,1.2788044e-05
100,a,4.17,1.6014,1.3148606e-05
100,a,4.18,1.601,1.3442511e-05
100,a,4.19,1.6007,1.3774147e-05
100,a,4.2,1.6003,1.418124e-05
100,a,4.21,1.6,1.4559911e-05
100,a,4.22,1.5996,1.4924322e-05
100,a,4.23,1.5993,1.5376129e-05
100,a,4.24,1.5989,1.588389e-05
100,a,4.25,1.5986,1.6374104e-05
100,a,4.26,1.5982,1.694398e-05
100,a,4.27,1.5979,1.7611817e-05
100,a,4.28,1.5975,1.8266881e-05
100,a,4.29,1.5972,1.8938578e-05
100,a,4.3,1.5968,1.9696517e-05
100,a,4.31,1.5964,2.0486403e-05
100,a,4.32,1.5961,2.1264674e-05
100,a,4.33,1.5957,2.2120679e-05
100,a,4.34,1.5954,2.3086502e-05
100,a,4.35,1.595,2.4063755e-05
100,a,4.36,1.5946,2.5053639e-05
100,a,4.37,1.5943,2.6063447e-05
100,a,4.38,1.5939,2.6961194e-05
100,a,4.39,1.5935,2.7651659e-05
100,a,4.4,1.5931,2.82358e-05
100,a,4.41,1.5928,2.8804613e-05
100,a,4.42,1.5924,2.9359532e-05
100,a,4.43,1.592,3.0003445e-05
100,a,4.44,1.5916,3.0789326e-05
100,a,4.45,1.5913,3.1610696e-05
100,a,4.46,1.5909,3.2509335e-05
100,a,4.47,1.5905,3.3627887e-05
100,a,4.48,1.5901,3.4889094e-05
100,a,4.49,1.5897,3.6212964e-05
100,a,4.5,1.5893,3.7668456e-05
100,a,4.51,1.589,3.9311306e-05
100,a,4.52,1.5886,4.11189e-05
100,a,4.53,1.5882,4.3054231e-05
100,a,4.54,1.5878,4.5191805e-05
100,a,4.55,1.5874,4.7349061e-05
100,a,4.56,1.587,4.9288587e-05
100,a,4.57,1.5866,5.1092148e-05
100,a,4.58,1.5862,5.2767364e-05
100,a,4.59,1.5858,5.4312173e-05
100,a,4.6,1.5854,5.5899023e-05
100,a,4.61,1.585,5.7599888e-05
100,a,4.62,1.5846,5.9273532e-05
100,a,4.63,1.5842,6.0946601e-05
100,a,4.64,1.5838,6.2748237e-05
100,a,4.65,1.5834,6.4679696e-05
100,a,4.66,1.583,6.6838214e-05
100,a,4.67,1.5825,6.9321797e-05
100,a,4.68,1.5821,7.2128568e-05
100,a,4.69,1.5817,7.5344672e-05
100,a,4.7,1.5813,7.9244875e-05
100,a,4.71,1.5809,8.3873008e-05
100,a,4.72,1.5805,8.9340838e-05
100,a,4.73,1.58,9.5898308e-05
100,a,4.74,1.5796,0.00010385234
