orbit_index,time_s,time_s_end,t_orb_s,M_out_orbit,M_sink_orbit,M_loss_orbit,M_out_per_orbit,M_sink_per_orbit,M_loss_per_orbit,mass_loss_frac_per_orbit,M_out_cum,M_sink_cum,M_loss_cum,r_RM,T_M,slope_dlnM_dlnr
89,2044932.4800000002,2043218.1988713655,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
90,2070178.5600000003,2066175.7067238528,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
91,2095424.6400000001,2089133.2145763398,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
92,2120670.72,2112090.722428827,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
93,2145916.8000000003,2135048.2302813143,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
94,2158539.8400000003,2158005.7381338016,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
95,2183785.9200000004,2180963.2459862893,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
96,2209032.0,2203920.753838776,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
97,2234278.08,2226878.2616912634,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
98,2259524.16,2249835.7695437507,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
99,2284770.24,2272793.277396238,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
100,2297393.2800000003,2295750.785248725,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
101,2322639.3600000003,2318708.2931012125,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
102,2347885.4400000004,2341665.8009536997,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
103,2373131.52,2364623.3088061865,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
104,2398377.6,2387580.8166586743,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
105,2411000.64,2410538.3245111615,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
106,2436246.72,2433495.832363649,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
107,2461492.8000000003,2456453.340216136,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
108,2486738.8800000004,2479410.8480686233,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
109,2511984.9600000004,2502368.3559211106,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
110,2537231.04,2525325.8637735974,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
111,2549854.08,2548283.3716260847,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
112,2575100.16,2571240.879478572,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
113,2600346.24,2594198.3873310597,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
114,2625592.3200000003,2617155.895183547,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
115,2650838.4000000004,2640113.403036034,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
116,2663461.4400000004,2663070.9108885215,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
117,2688707.52,2686028.4187410083,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
118,2713953.6,2708985.9265934955,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
119,2739199.68,2731943.434445983,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
120,2764445.7600000002,2754900.94229847,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
121,2789691.8400000003,2777858.4501509573,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
122,2802314.8800000004,2800815.958003445,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
123,2827560.9600000004,2823773.4658559323,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
124,2852807.04,2846730.973708419,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
125,2878053.12,2869688.4815609064,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
126,2903299.2,2892645.9894133937,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
