time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP
37717643.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37730266.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37742889.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37755512.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37768135.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37780758.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37793381.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37806004.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37818627.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37831250.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37843873.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37856496.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37869120.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37881743.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37894366.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37906989.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37919612.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37932235.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37944858.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37957481.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37970104.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37982727.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37995350.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38007973.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38020596.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38033219.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38045842.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38058465.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38071088.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38083711.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38096334.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38108957.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38121580.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38134203.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38146826.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38159449.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38172072.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38184696.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38197319.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38209942.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38222565.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38235188.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38247811.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38260434.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38273057.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38285680.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38298303.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38310926.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38323549.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38336172.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38348795.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38361418.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38374041.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38386664.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38399287.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38411910.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38424533.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38437156.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38449779.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
